rating,title,description
1,Bait and Switch is the Name of this Game,"Does ""Godfather"" romanticize crime and criminals? Yes, it does. Take, for instance, the Godfather's name ""Corleone"" which translates as ""Lionhearted,"" suggesting that the heroes are to be compared to Richard the Lionhearted, legendary chivalrous hero of the Crusades and friend to Robin Hood. There can be no doubt that author Mario Puzo and director Francis Ford Coppola have made romantic idols of the Corleones, as the film gilds them with mystery, honor and gallantry. But of what Holy Crusade are the Corleones the leaders? Seemingly a war for survival against vicious enemies who would destroy their gang. But why should we care what happens to a bunch of evil criminals?

""Godfather"" is just as much interesting for what it fails to show the audience as what it does show. The film makers wrongly assume that the audience is sophisticated enough to infer the kind of lurid but educational scene that made such a great success of earlier gangster films, nitty gritty illustrations of the inside workings of organized crime: loan sharking, extortion and vice. ""Godfather"" for the most part ignores this subject matter, the everyday business of crime, in favor of what should be only the end part of its story: a war between gangs over control of the rackets. The drama is essentially without motivation. The movie is simply not interested in showing us much of the dirty business that is the reason for the war. That is because the heroes would seem much less chivalrous if their criminal enterprises were shown in any depth or with any real understanding. For most of its length, the movie plays as a revenge tragedy in which the gallant protagonists could be members of any great family (whether criminal or not) protecting their cherished honor.

Why did the film makers deliberately sanitize the criminal aspect of the Corleone family? Are they apologists for crime? I think they are. One confidence game employed by the film makers, which is also familiar among the annals of organized crime leaders, is a variation on the trick called ""bait and switch."" We expect a portrait of a ruthless and immoral criminal, instead we are made to believe in the essential moral rightness of Don Corleone when he condemns as a contemptible enemy the kind of criminal who trades in narcotics. In other words, we are lured into the theater with the promise of a true to life depiction of the actions of a bad guy, and then the film makers slyly pull a fast one and show us a good guy instead! (We are persuaded to ignore the fact that the Godfather is an extortionist and pimp  even worse we are asked to believe that extortion and pimping are not so bad, especially if practiced by an honorable guy like Don Corleone, who, whatever his failings, is much too decent to trade in narcotics.)

This jiggery pokery was so effective that around the time the movie and its sequel came out an ivy league educated friend of mine on his way to a brilliant career on Wall Street bitterly denounced a critic of ""Godfather"" for making the claim that Don Corleone was not entitled to be regarded as a great hero like President Franklin Delano Roosevelt, General Douglas MacArthur or Doctor Albert Schweitzer, who had received similarly adulatory treatment in film. My friend, having seen both Godfathers, was convinced that a Mafia leader might be just as honorable as the heroic portrait the movies presented.

So, I feel some need on this occasion to remind the public of what the Mafia does, even when they allegedly refuse to get involved in narcotics sales. The Mafia is mainly in the business of Vice. It feeds off the weaknesses of a mass of little people who are corruptible, who are vulnerable to the appeal of easy sex, cheap thrills, quick money and quick fixes of their problems. These little people pay for their vices all their lives, much more than they can afford to pay, and end up ruined for the greater glory of the Mafia. Most racket crime is not glorious; it is petty and mean and easily committed by anyone who has less courage or daring than the average person. But it's easy to understand why the film makers left this out of the movie. It would be kind of absurd to call a scuzzy dirtbag by the name ""Lionheart."""
8,I Know I'm In The Minority.....,"I know I will be in the minority with this review, but I think ""The Godfather"" and in particular Marlon Brando's performance are completely over rated. I'm not saying it's a bad movie at all, it's a good one, but I don't think it lives up to the hype.

Plot In A Paragraph: The Godfather ""Don"" Vito Corleone (Marlon Brando) is the head of the Corleone mafia family in New York. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But a powerful and treacherous rival wants to sell drugs, and Vito refuses his permission or help. What follows is a clash between Vito's old values and the new ways which may cause his youngest son Micheal (Al Pacino) to do the thing he is most reluctant in doing, and join the family business.

I found it to be over long and very drawn out. Sometimes a movie nearly three hours long, can feel like an hour and a half, as it is the engrossing and enjoyable the time flies by. This felt like I spent five hours watching it.

With the exception of Brando, all the cast are superb. And I don't mean that as a slant at Brando, he does what Brando does. No more no less. Al Pacino, James Caan, and Robert Duvall are all excellent as is Talia Shire (in my second favourite role of hers, behind Adrian in ""Rocky"") and Diane Keaton.

Ridiculously quotable, and still a movie I think everyone should see once. It's just over rated"
10,Timeless classic...!!!!!,"Contains no spoiler..!!.

Firstly i must say what mind blowing performance by Al Pacino and Marlon Brando.

Even after 40 years this movie doesn't get old .Based on novel by

Mario Puzo's,Francis has done beautiful job portraying greatest mob drama

of all time. Francis ford Coppola's 'The Godfather' is regarded as

greatest movie of all time.And when i saw it i understood why.

Everything has been meticulously put together to create an entertaining.captivating. and phenomenal masterpiece!!!!.

JUST BUY THE MOVIE AND WATCH IT ...!!!"
10,Why The Godfather Rocks !!!,"I saw the movie some years back mainly due to the hype.. I liked it & would have given it 6/10 at that time..

Three years later I bought the book(accidentally).. Well just for the sake of buying something really wasn't going to read it anyway (so I thought)..

A few days later I read a few pages & started loving it.. I was hooked on to the book like a Harry Potter fan & couldn't put it down..

THEN..I watched the movie ... Then I knew why there was so much hype around the movie even after 30 years...

The movie just brought back the characters to life...

I loved it & thus the rating 9.6/10 However the movie is not as good as the book.... but I think it's as close a movie will ever get to the original.. Which by the way is a masterpiece..

The casting for the movie is flawless..You really feel that they belong in the book..

All in all The Godfather won the Academy Awards for Best Picture, Best Actor in a Leading Role and Best Writing (adapted screenplay) (Francis Coppola, Mario Puzo)...

The film was nominated for eight additional Academy Awards. Furthermore, it won five Golden Globes, one Grammy, and numerous other awards...

My final piece of advice...

""READ THE BOOK THEN WATCH THE MOVIE""

If you really want to enjoy it.."
10,"with its long, but taut running time, perfect casting, and all under the control of Francis Ford Coppola, ""The Godfather"" easily scores as one of the best films ever made","When it comes to naming the greatest and most influential motion pictures of all time, Francis Ford Coppola's 1972 masterpiece ""The Godfather"" is a title that is practically guaranteed to be among the many listed. Famed director Stanley Kubrick called ""The Godfather"" a candidate for the best movie ever made and ""without a doubt, the best cast."" Although not very familiar with Kubrick's films and his tastes, I will say that on the second regard, he is absolutely correct.

Based on a very good, hard-to-put-down novel by Italian American novelist Mario Puzo, the film revolves around a fictional 1940s Sicilian crime family based in New York. The family is run by a wispy-voiced, puffy-cheeked man named Vito Corleone (Marlon Brando) who has, for the most part, moved away from the days of violence in favor of peace and prosperity without blood and above all things, lectures on the topics of friendship and loyalty. When an attempt is made on Vito's life, his two sons (James Caan, Al Pacino) and his adoptive son (Robert Duvall) take control of his dynasty and fight to keep him alive and what unfolds is a repeat of days gone by and the world of the Mafia is exposed to a spellbound, absorbed audience.

""The Godfather"" is nearly three hours in length and part of this is due to the fact that it follows Mario Puzo's novel almost exactly detail-by-detail, scene-by-scene: a very rare thing in Hollywood, which always seems more than happy to alter and reshape the mold of the authors' visions for the big screen. Coppola's film will without a doubt satisfy the purists, and even to those who have not had the privilege of reading Puzo's fantastic book, this is still a more than enjoyable way to spend three hours. Even at such a length, ""The Godfather"" never fails to keep our eyes focused on the screen.

Number one, we have great characters in what is possibly the greatest cast ever assembled for a single movie. Marlon Brando was great; that was a given. But what really impressed the audiences of 1972, and what still impresses people, are the performances of the supporting cast. Names such as Al Pacino, Robert Duvall, and James Caan, who are at icon status today, were nobodies at the time. Al Pacino, in particular, gives a noteworthy performance that garnered him an Academy Award nomination and made the producers who initially wanted to ban him from the role feel like the biggest idiots on the face of the planet. Pacino is undoubtedly the most ironic character in the film. When we first see him, he's not even so much as a sliver of a Mafia-type image. He's passive, he's quiet, shy, with a clean record, and a war hero. Then, when he has to assume a Family role to defend his father, he slowly turns into the image of his predecessor and by the time the film ends, Pacino is the exact opposite of how we first saw him. Of course I can't leave out Diane Keaton as Pacino's love interest, who watches him change before her eyes, James Caan as the fiery-tempered brother, Robert Duvall as the Family consiligere, and one of my favorites, Al Lettieri as the villainous, steely-eyed Virgil Sollozzo, who fits the exact image of how I pictured the character while reading the novel.

Second, there is the fantastic element that the whole realm of the story takes place in the world of the Mafia. There is none of the tired old elements of, shall we say, detectives trying to uncover the Mafia and take them down or civilians who become victims of the organized crime families. With this method, we successfully connect with and understand the motivations of the characters while the outside world, law and otherwise, simply lies in the background. The outside world meant little to the Mafia, and thus it means little to us as well.

But of course, ""The Godfather"" does not glorify the Mafia. Yes, we do identify and sometimes feel for the characters in this savage world, but never do we justify for them. And when director Francis Ford Coppola tries to give us horrifying violence, he delivers. As he noted in his commentary on the film, Coppola worked hard with his pyrotechnics crew to make all of the shootings and killings in ""The Godfather"" look real as opposed to making them obvious simulations. He uses blood, but not so much to the point where it becomes over the top, but just enough to make it convincing and disgusting.

""The Godfather"" was an enormous hit when it was first released. It garnered there Academy Award wins included Best Picture of the Year and broke box office records that would not be topped until ""Jaws"" (1975) was released three years later. Al Pacino, James Caan, and Robert Duvall were all secured nominations in the Best Supporting Actor category but surprisingly none of them won. It also spawned two successful sequels, one of which I feel is actually superior to the original. And now Francis Ford Coppola has worked with Robert A. Harris to restore his famous trilogy and give it the pristine print that he always wanted audiences to see it in. Among other films such as ""Lawrence of Arabia"" (1962), ""Vertigo"" (1958), and ""Spartacus"" (1960), ""The Godfather"" is certainly a film that deserves a beautiful restoration so that it may linger in our collective minds for generations to come."
10,The Godfather is so good that real life gangsters patterned themselves after the movie,"It is amazing to see such quality of actors all in one film. Marlon Brando, Robert Duvall, James Caan, Al Pacino, and John Cazale fill out one of the more impressive casts seen in modern movie making. You can just feel the intensity of the whole chain of events that happen."
10,"VERY good, but not the best...","...""The Godfather"", as everyone knows, is a classic. It follows the Corleone family over a period of a few years in the forties. It starts with godfather Vito Corleone (Marlon Brando) and ends with godfather - and Vito's son - Michael Corleone (Al Pacino). Also involved are Sonny Corleone (James Caan), adopted son Tom Hagen (Robert Duvall) and muscle Peter Clemenza (Richard S. Castellano) to name a few.

The acting ensemble is one of the greatest put together in film history. Brando plays the wise Vito Corleone very well, but the best performances come from Pacino as Michael and Caan as Sonny. Pacino is probably the greatest character actor of all time, and this film shows it. He plays Michael at the start with a young naivety and is able to bring the character along to the end of the film, where he shows the growth of Michael's knowledge and wisdom. Unfortunately, Caan is only in about half the movie, but he certainly does an incredible job as the hot tempered Sonny.

""The Godfather"" is the template for good drama. Few films achieve it's greatness, but in the end, it is surely not the best. In my opinion, there is no best movie of all time, but many 'best' films per genre. ""The Godfather"" is the best crime drama. ""Casablanca"" is the best romance. ""The Lord of the Rings"" and ""Star Wars"" movies are the best adventures. All of said movies would tie, and be equal in greatness.

So, if you're ever tired of these days' mindless action and mediocre drama films, then pop in one of the classics. Any one will do, they are all equally entertaining. Films like ""The Godfather"", ""Casablanca"", ""Lord of the Rings"" and ""Star Wars"" are the reason movies are so popular.

Enjoy, 9/10."
6,Average movie.,Don't understand what is so special about the movie. Certainly doesn't deserve to be the best movie ever.
1,A bore fest from beginning to end,I saw this movie when it first came out in the movie theaters. It was the first movie I seriously considered walking out of. Up to that point in my life I had never fidgeted so much in a movie. I blame the director - his pacing was so ponderous that the story seemed to go on and on and I could hardly wait for it to be over. The whole Godfather series is vastly overrated.
10,WTF?!,"Anything below a 9+ is automatic removal of your rating privileges. This is it, Masterpiece, the GOAT, THIS IS MOVIE, THIS IS CINEMA PERIOD!!"
10,Legend İn The World,"he Godfather (1972) did for gangster movies what 2001: A Space Odyssey did for science fiction. Like Stanley Kubrick, Francis Ford Coppola re-energized and, to a degree, reinvented a basic Hollywood pulp fiction action-entertainment genre, using it as a vehicle for the high artistic ambitions of a post-New Wave film ""auteur.""

Within his narrower focus on 20th century American civilization (as opposed to Kubrick's philosophical speculations on human evolution), Coppola shapes the story of the Corleone Mafia family into an epic/satiric vision of American business, government, justice, and moral decline. The Godfather's brilliantly constructed opening sequence, the wedding of Don Corleone's daughter, not only establishes the Don's character, the nature of his organization, the role of family and Sicilian tradition in his world, and the character of his sons (three natural and one adopted), but also establishes the relationship between the Don's world and ""legitimate"" society. For instance, the film's opening words are those of Bonasera, a petitioner for a wedding ""favor,"" whose voice over a dark screen first asserts the American Dream, ""I believe in America. America has made my fortune,"" and then turns to disillusioned contradiction: ""for justice, we must go to Don Corleone.""

Numerous subsequent lines of dialog establish literal or metaphorical connections between the criminal underworld and social institutions. Some of the most memorable ones include: ""My father is no different than any powerful man, any man with power, like a president or senator.""""Now we have the unions, we have the gambling; and they're the best things to have. But narcotics is a thing of the future. And if we don't get a piece of that action, we risk everything we have. I mean not now, but ten years from now."" ""It's not personal, Sonny. It's strictly business."" And most famously of all: ""I'm gonna make him an offer he can't refuse.""

The film's title refers to two godfathers, the original Don Corleone and his youngest son - and ultimate successor - Michael. Marlon Brando's performance as Don Corleone, for which he was awarded a Best Actor Academy Award, balances the Don's subtly counter-pointed functions as beloved, grandfatherly patriarch and fearsome, brutal crime boss. Yet Michael, as the character most centrally and significantly affected by the film's plot and played with a brilliance equaling Brando's by a then unknown Al Pacino, is the principal protagonist.

At the wedding, Michael's centrality is signaled by the Don's frantic call, ""Where's Michael? We are not taking the picture without Michael!"" A World War II hero still in decorated uniform, Michael is meanwhile busy differentiating himself from his family to his girl friend and future second wife, Kay (Diane Keaton). ""Luca Brasi held a gun to the band leader's head,"" he relates, ""and my father assured him that either his signature or his brains would be on the release. That's my family Kay. It's not me."" Michael's initial disinterest in Mafia activities is reinforced by his adoring father who envisions him as ""Senator Corleone"" or ""Governor Corleone"" not as his successor. That role is reserved for his hot-headed eldest son, Sonny (James Caan). But, of course, events conspire to suck Michael in - and to keep sucking him in right through Godfather III - the assassination attempt on his father, Michael's coolly murderous response, the car bomb meant for him that kills his first wife, the Sicilian beauty Apollonia (aptly named for the god of sun light), the riddled body of his brother Sonny. Inevitably, a morally darkened Michael emerges at the end of the film, one who outdoes his father in guile and ruthlessness and whose final brutal and deceitful acts in Godfather I seal his doom as a Macbeth-like villainous tragic hero.

Shot mainly on location in various New York City locales, The Godfather spans a ten- year post World War II period. A multitude of props, costumes, and pop culture artifacts arranged by the film's art director, Warren Clyner, and production designer, Dean Tavoularis, lend a rich sense of historical authenticity to the film's mise en scene. Moreover, the film's lighting by brilliant cinematographer Gordon (""prince of darkness"") Willis, contributes greatly to both the film's realism and its thematic symbolism. Compare, for instance, the use of extremely dark, shadowy, color desaturated interior scenes – especially in the Don's home office – with the brightly lit, vivaciously colored outdoor wedding scene or the sun-drenched, romanticized Sicilian landscape.

The Godfather is edited in the classic Hollywood invisible style, subordinating technique to the needs of narrative and visual continuity. But the film is expertly edited nonetheless. In particular one might note the stunning use of multiple parallel editing that occurs in one of the film's last scenes: the assassination of the other crime family heads, elaborately planned to coincide with Michael's participation in the baptism of sister Connie's child. Likewise, The Godfather's soundtrack is a memorable combination of diegetic period music (""Have Yourself a Merry Little Christmas"") and a lush, operatic original score composed by one of the greatest film music composers, Nino Rota (a frequent Fellini collaborator as in 8 1/2).

With The Godfather and its even more ambitious sequel, Coppola pushed the classic gangster film in the direction of high art and released it once and for all from the moralistic grip of the Hays Code, which arose in the 1930s in large part as a response to the romanticizing of criminals found in such early examples of the gangster genre as Scarface, Little Cesar, and Public Enemy. Not only did the code regulate the degree and nature of sexual and violent imagery in all films, but it also specifically required that criminals be portrayed as morally repulsive social deviants and that plots involving them be resolved with the implicit or explicit lesson that ""crime did not pay."" Fortunately for American popular culture The Godfather radically rewrote the rulebook and paved the way for a generation's-worth of gangster masterpieces ranging from the Scarface remake to Pulp Fiction to The Sopranos."
10,"""Perfection...""","The Godfather (1972)

Number 1 - 1972

Number 1 - 1970s

Top 5 - All Time

An offer you can't refuse ...

The Godfather is considered one of the greatest films of all time, perhaps the best. Marlon Brando's perfect portrayal of Mafia boss Don Vito Corleone is simply unforgettable and one of the finest performances ever

Francis Ford Coppola adapts Mario Puzo's superb novel in a breathtaking fashion.

Upon its release in 1972, many people knew that something special was expected - the result, one of, if not the greatest and superior film of all time. I won't sit here defending this colossal masterpiece, it needs no such thing. The Godfather is the definitive inside to the operations, bonds and thoughts of the Mafia. Only one other film manages to give us a breathtaking panorama of the Mafia and that is Martin Scorsese's 'Goodfellas'.

Every gangster film is measured alogn the breadth of The Godfather:

'The best gangster film since The Godfather'

Coppola has created something so powerful, so unique that essentially cemented a whole new genre of film-making. This film did not follow stereotypes, arguably it created them.

Breathtaking direction, incomparable acting, one of the best screenplays in the history of film amount to one of the most memorable achievements in film history.

-10/10-"
9,not the godfather of all movies,"As much as i did enjoy this film, and was intrigued throughout, I still don't like to see it gain the repetitive status of 'the greatest movie of all time'. I feel a movie has to have a more relevant context than the glamourised lifestyle and crooked dealings of Italian-American mafia to gain such a grand title. However, admittedly, unlike 'The Goodfellas' for instance, 'The godfather' is not glamourised that much, and I'm thankful for Coppolla turning what was at times a tedious book into a 3 hour long gripping tale. I did enjoy the book, but it's lucky that Coppolla was the man who got his hands on it. He turned some of 'The Godfather''s sections into the most mind-bendingly gripping scenes ever.

In a film genre that is incredibly overrated, 'The Godfather' certainly stands head and shoulders above the rest, however, i feel it's genre should forever hold it back from being THE greatest movie of all time."
6,Interesting but hardly great.,"Without a doubt, this is a good film. It's got great acting all around, a fine musical score, the cinematography is practically flawless; but it is still lacking in the most important area:

It's still a movie that glorifies (or attempts to do so) the mafia.

Yes, this film is *really* about family and loyalty, but in the end that becomes sort of sublimated and what you have is a story about criminals, the massive power they wield, and the destruction they cause to those around them.

Hardly something worthy of praise.

The Godfather is an interesting film, but it's hardly a great film."
1,What is so great about it?,"This movie is ridiculously overrated. It is merely a overly dramatized celluloid interpretation of life involved with the Italian Mafia. Yes, organized crime is a problem, but this movie is NOT all that amazing. There are entirely too many references to it in other movies, too many spoofs and too many quotes. It's a bad movie. Let it go. There is no real plot line and the bad accents were enough to give me a headache. This movie is mind numbingly boring. It feels as though I lose brain cells every time I am forced to watch this painfully shallow film. Most films following along a similar premise are horribly dull. Why does everyone rave about movies like this and Scarface? They are awful, overly exaggerated and generally badly constructed cinematic failures. A decent script and plot line were substituted for gratuitous blood, gore and explosions. A good movie starts with a good story and a good script, this lacks both. Every aspect of this movie was horribly boring. It does NOT deserve to be named ""The Best Movie of All Time."""
10,The best film ever.,"I'm a movie fan! I love most movies I see (except of, for example, ""Crash""), but, this one movie, for me, has everything a movie must have.

First off (and as John Travolta says in ""Swordfish""), it has REALISM. From the girls and the boys at the wedding (all of them seems truly Italian) to the Scene when the filmmaker found he has no legs. Everything it made truly believable. ACTING. And that's not a minor factor. Everyone acts as hell, everything is so well done. Almost impossible to believe. DIRECTING. Yes, this is one of the (if not the) best directed movies. Everything's on its place. I truly love it!

I can keep on naming good aspects of this wonderful movie, but truth is that I just can't explain why I watched this movie more than 50 times and still, every single Friday night we gather around the TV set to watch it again...

A gem I could not afford not to share with the rest..."
9,A novel of images,"Francis Ford Coppola, maybe, didn't think in 1972 that this film would have become a cinematic icon. It's like a show business fairy tale: the young director needed a hit, he had debts and Paramount commissioned him to direct a movie based on Mario Puzo's bestseller. Coppola hired a big forgotten star -Marlon Brando- and some young and relatively unknown actors -Pacino, Caan, Duvall and Diane Keaton. Federico Fellini's music composer (Nino Rota) wrote the soundtrack. The film was shot in Sicily, New York and California. The rest is history.

""The Godfather"" is a novel about an Italian-American family and the relationships in the Mafia. It's not only a blockbuster, it is also a deep study of characters. Coppola says that ""Godfather"" is a metaphorical vision of power in America... We can see this especially in ""Part Two"", which is not just a sequel: it's another chapter, where Coppola shows more contradictions in US society -Mafia's reign talks more and more with the other social and political institutions. (Martin Scorsese, for his Mafia's movies, chooses a more neurotic way of telling stories, whereas Coppola prefer a more classical style for his tales and likes to novelize the events.).

""The Godfather"" (1972): we know the Corleone's family and the way a clan keeps its power. There are rhythm, action, drama. And strong acting performances.

""The Godfather, Part Two"" (1974): the story goes on. A more bitter trip into the power and the loneliness of a Boss. The highlight is the combination of two parallel stories -Robert De Niro is the young Vito Corleone, and Al Pacino is the established ""Don"" Michael in the Sixties. It's the best sequel ever realized, maybe better than the original film.

""The Godfather, Part Three"" (1990): not as good as the two previous -actually it is much inferior to them, it was made too many years later. Some allusions to Italian mysteries (the death of businessman Roberto Calvi, the P2 lodge) are quite superficial. For the rest, the movie is well directed. Pacino is more Shakespearean -Coppola says like King Lear...

A must for the new Hollywood movies lovers. The first two chapters in particular."
10,Awesome!,One of the greatest sagas of all time!! I've watched every single minute. The depth that writer takes is not easily written and the actors brings it to life with absolute brilliance.
10,masterpiece!,"A very good movie, a must-see! its very interesting"
10,One of the greatest,"This is one of my favorite movies. A very good cast which includes Marlon Brando, Al Pacino, James Caan, Robert Duvall, and many more. I was very moved by this story. It is a very believable movie. It's gotta be one of the best movies ever made."
10,"Where there are people, there are rivers and lakes.","The Godfather is a great movie, which not only tells about the vendetta of the gang, but also the cruel environment of human existence. Where there are people, there are rivers and lakes."
10,Just the greatest movie ever,Not many films stand the test of time but after almost 50 years this is still the gold standard of cinema. And rightfully so.
10,Timeless masterpiece,"Never understood the hype, until I took the time to watch the entire series throughout. This movie is simply incredible. From the storyline, to the filming, the composition, theme tune - everything hits hard.

A must watch for any true movie fan."
7,Not a bad movie but definitely the most overrated.,Definitely the most overrated movie ever. It's not bad but it's pretty slow. I've tried and failed to make it all the through it many times but I always fall asleep. Perfect example of a classic that's surviving on nostalgia. I'm sure for it's time it was revolutionary. Reminds me of when older folks talk about their favorite athletes from the past. Sure some of them are all time greats but let's be honest most of them just can't keep up with modern times. I'm 34 years old for reference in case I come off sounding like a child.
1,The most overrated movie of all time.,"Let me just start by saying that I am 50% Italian. I have nothing against Mafia movies. In fact, I have nothing against ANY type of movie. But, to say that this is the best movie of all time is simply insane.

I saw absolutely nothing special. I kind of enjoyed the performances of Al Pacino, Marlon Brando, and James Caan... but besides that, there is not one really exceptional feature in sight. And the fact that it is one hour too long only brought down my enjoyment. It's not the worst film of all time... but not the best either."
10,So freaking good,"Honestly, I didn't thought that a movie can live up to the praise like this movie. I watch it like a year ago, and it is what everyone says - unbelievable amazing and unique. Just a masterpiece. No other way to describe"
10,Not just a guy film.... maybe,"What can I say about The Godfather that hasn't already been said? The film is a masterpiece of cinema, innovative and compelling. I had the privilege of seeing it on the `big screen' recently at the local theater that shows classics and was as riveted as the first time I saw this film.

The Godfather has been labeled a `guy's film' and I am generally inclined to disagree based on the fact that I am obsessed with it. However, upon further reflection, I have to give some credence to this theory since A) My tastes are atypical, B) While most of my friends worship this film as well, they are all guys and C) It was a virtual testosterone fest at the theater.

Regardless, it's a great film and should be viewed at least once in one's lifetime. If anything, you can slip in some great quotes and horrible impressions at parties.

--Shel"
10,Best Movie ever,"This is a marvelous work, it cannot be better than that"
10,Excellent Performances,"Marlon Brando is the Father of all actors when it comes to act as a don.

The novel(which is also great) has been converted beautifully into a movie. Every detail has been taken care of.

And what to say about Michael Corleone (Al Pacino), I became a fan f him after I watched the movie.

The background score is too good. I was wondering whether i can get it from somewhere.

All in all a great casting for the film.

The best mafia movie i have ever seen. better than its following two parts."
10,This movie is a masterpiece in pratically every way.,"The Godfather can have slow scenes and plot points that might feel rushed, but it never has a single scene or plot point that feels boring, which for a fourty year old, three hour long movie with such a slow pace, is the sign of a timeless masterpiece.

Every performance, every shot, every set, every choice made in this movie leads to a masterpiece of an experience. A wholly engrossing film that pulls you into its world, its characters and its settings and drenches you in its warm and lively atmosphere."
10,Never Fails,"I must have watched this movie 30 times, yet it is interesting and enjoyable every time. Beautifully filmed and written, it is like reading a great novel, the heroes are villains but you get so lost in the story it doesn't matter, it is a prime example of the art of movie making, perhaps the best."
6,Quantity Does Not Equal Quality,"I guess the same kind of folks who made The Sopranos one of the highest-rated TV shows in history made this film a 9.2 on IMDb. I sure don't get it. I think there is also a slight bias towards rating longer movies higher. Quantity does not equal, or compensate for the lack of, quality.

Star-studded cast? Check. Outstanding director? Check. Dramatic and compelling plot? No.

A drama should be dramatic. It should be compelling. We should care about the outcome. This film achieved none of those objectives.

Some have lauded it as a fantastic sketch of organized crime. I suppose if you think of it more as a fictional docudrama, maybe your expectations would allow you to enjoy it more.

The only compelling aspect of the film was the progression of Michael Corleone. The movie did bring that full circle, and I will dance around the details here to avoid spoilers. Nevertheless, that one somewhat interesting aspect was not enough to redeem the movie. And even in that aspect, the film did nothing to make the viewer CARE about Michael or why he evolved as he did.

About my reviews: I do not offer a synopsis of the film -- you can get that anywhere and that does not constitute a meaningful review -- but rather my thoughts and feelings on the film that hopefully will be informative to you in deciding whether to invest 90-180 minutes of your life on it.

My scale: 1-5 decreasing degrees of ""terrible"", with 5 being ""mediocre"" 6- OK. Generally held my interest OR had reasonable cast and/or cinematography, might watch it again 7 - Good. My default rating for a movie I liked enough to watch again, but didn't rise to the upper echelons 8- Very Good. Would watch again and recommend to others 9- Outstanding. Would watch over and over; top 10% of my ratings 10 - A Classic. (Less than 2% receive this rating)"
10,Epic Gangster Movie!!!,"""The Godfather"" is a superb movie it is all about a Gangster family and their crimes fights story business and all it is one of the greatest movies ever made.

The Direction done by ""Francis D Coppola"" is great and the acting done by ""Al Pacino"" and others were 100% Top notch.

I watched this movie recently about a year ago and I had no words describe this MASTERPIECE at that time!!!

Overall the movie was must watch and Top notch entertainment. It has got 9.2/10 rating on IMDb and 100% on Rotten tomatoes which is the greatest rating movie and it fully deserves it!!!!!"
9,"Regarded a classic for good reason, Coppola's crime epic is sweeping in scale yet intimate in scope.","Coppola's crime saga is sweeping in scale yet intimate in scope, focusing as much on family dynamics as mafia machinations, and is all the more impactful for it. 'The Godfather (1972)' honestly feels epic, despite the fact that its relatively few key events are all quite contained (considering it spans nearly three-hours.) This effect is hard to put your finger on but certainly tangible, especially in retrospect; it really feels as though you've witnessed a journey, the beginning of an empire or at least a transitioning period within it, in a way which few films have achieved. It's actually a fair while before we learn anything out-rightly illegitimate is actually transpiring, though, and even then its all treated so casually that it really does feel just like the family business. That's a real strength of the picture, too: how little it relies on needless exposition to convey its characters or world. It is refreshing to get a truly inside perspective on sometimes unseemly events without ever being bombarded with morality, but instead trusted to make up our own minds about several situations that are shaded in grey. While the piece is a little long and can sometimes meander, several explosive sequences and character-driven moments add up, in equal measure, to an excellent experience overall that has defined the gangster genre. It is regarded a classic for good reason. 9/10"
10,Masterpiece,"Almost 50 years old this film is still one of the greatest ever. The depth, feeling and acting is top of the charts. For a movie 50 years old, the action scenes and violent parts keep up impressivly well. It is the ultimate film for using the cliché: You dont watch this movie, you experience it."
10,The Godfather,"The Godfather film is an excellent movie WHY? because of the drama, action and the loyalty.

The movie describes how it could be in a mafia family, both on family problems and political problems. The Godfather also gives you a picture of how a man with respect could be as Michael Corleone and Vito Corleone.

Alsow did the movie learned me something, that always love your family no matter what.

The movie haves good actors as Al Pacino and Marlyn. not only that it haves also good actions and original scenes!"
10,A complete crime drama must watch,"A classy story of italian crime family ""corleone"", story rolls around the family head vito corleone who is now not as powerful as used to be and so the son michael corleone jumps in the family business to bind the scattered things once again ! A complete crime drama, filled with music, classy dialouges and character that cannot be find in any other movie !"
10,A Masterpiece,"The Godfather is definitely one of the best films ever made. There is great acting ,and a truly great story which is very entertaining. It is exciting to watch and even if you do not like crime or criminals you will somehow like the ones in this movie. I JUST CAN""T PUT THE GREATNESS OF THIS MOVIE INTO WORDS!"
8,"Pretty good, but bore at times.","Pretty good, but a bore at times. The plot was very good and has some turns, but overall the story unfolded very slowly. Only the actors did a great job to save the day. I was also very impressed by the music, when you closed your eyes, the music alone can put you in the story."
7,Its good but Geez....,"I saw this for the first time as a teenager and was pretty bored. At the same time I was seeing things like ""Scarecrow"" and ""Deliverance"" so its not like I was just interested in seeing juvenile nonsense.

I've seen it again recently, twice. I admire the movie, I like it, it holds my interest, I think its very good. But I fail to understand why the imdb trolls think its the greatest thing since the invention of the lightbulb. For that reason I've rated it lower than I normally would cause you've all gone overboard in your admiration.

Pacino not winning an Oscar is a huge injustice. He makes the entire movie worthwhile and doesn't even have to talk. James Caan is miscast. Brando is terrific but if he didn't win, I don't think the earth would have ceased existing. Its Pacino's movie, through and through, and someone must have agreed w/me on that, since the second one is his, too."
